"author_id","author_name","author_year","authority_type","auth_list","input_date","last_update"
1,Louis Berkhof,,p,,"2026-06-21","2026-06-21"
2,Norman E. Thomas,,p,,"2026-07-02","2026-07-02"
3,J.L. Packer,,p,,"2026-07-02","2026-07-02"
4,M. David Sills,,p,,"2026-07-02","2026-07-02"
5,Robert Coleman,,p,,"2026-07-02","2026-07-02"
6,Don Richardson,,p,,"2026-07-02","2026-07-02"
7,Harold Netland,,p,,"2026-07-02","2026-07-02"
8,K. M. L Tobing,,p,,"2026-07-02","2026-07-02"
9,Pdt. Mangisi Simorangkir,,p,,"2026-07-02","2026-07-02"
10,Will Metzger,,p,,"2026-07-02","2026-07-02"
11,Ross Paterson & Elisabeth Farrell,,p,,"2026-07-02","2026-07-02"
12,Grace Suryani,,p,,"2026-07-02","2026-07-02"
13,Dean Wiebracht,,p,,"2026-07-02","2026-07-02"
14,Dr. Bruno Caporrimo,,p,,"2026-07-02","2026-07-02"
15,Mabel Williamson,,p,,"2026-07-02","2026-07-02"
16,Van Heiden tot Christen,,p,,"2026-07-02","2026-07-02"
17,B.W. Kranendonk & A.F. Van Toor,,p,,"2026-07-02","2026-07-02"
18,James E. Plueddemann,,p,,"2026-07-02","2026-07-02"
19,David J. Bosch,,p,,"2026-07-02","2026-07-02"
20,Stanley J. Grenz,,p,,"2026-07-02","2026-07-02"
21,Lesslie Newbigin,,p,,"2026-07-02","2026-07-02"
22,S. WESLEY ARIARAJAH,,p,,"2007-11-29","2007-11-29"
23,"D. JAMES KENNEDY, JERRY NEWCOMBE",,p,,"2007-11-29","2007-11-29"
24,Dr. DAVID IMAN SANTOSO,,p,,"2007-11-29","2007-11-29"
25,TREMPER LONGMAN III,,p,,"2007-11-29","2007-11-29"
26,WILLIAM HENDRIKSEN,,p,,"2007-11-29","2007-11-29"
27,Dr. LUKAS TJANDRA,,p,,"2007-11-29","2007-11-29"
28,SUTJIPTO SUBENO,,p,,"2007-11-29","2007-11-29"
29,DEBBIE THEN,,p,,"2007-11-29","2007-11-29"
30,Kathleen Fischer,,p,,"2007-11-29","2007-11-29"
