"author_id","author_name","author_year","authority_type","auth_list","input_date","last_update"
101,GORDON D. FEE,,p,,2007-11-29,2007-11-29
102,Dr. ANDREW D. LESTER,,p,,2007-11-29,2007-11-29
103,KURIKULUM BIBLE CROSSROADS,,p,,2007-11-29,2007-11-29
104,SYLVIA RAHARDJA,,p,,2007-11-29,2007-11-29
105,"MARTIN A.HOPKINS, Th.M.,D.D",,p,,2007-11-29,2007-11-29
106,JACK ROEDA,,p,,2007-11-29,2007-11-29
107,Dr. BRUNO CAPORRIMO,,p,,2007-11-29,2007-11-29
108,MICHAEL EATON,,p,,2007-11-29,2007-11-29
109,JIM WOOD,,p,,2007-11-29,2007-11-29
110,A. HEUKEN SJ,,p,,2007-11-29,2007-11-29
111,JOHN SHELBY SPONG,,p,,2007-11-29,2007-11-29
112,KAREN ARMSTRONG,,p,,2007-11-29,2007-11-29
113,BART D. EHRMAN,,p,,2007-11-29,2007-11-29
114,BEN WITHERINGTON III,,p,,2007-11-29,2007-11-29
115,DAVE HAGELBERG,,p,,2007-11-29,2007-11-29
116,LENNY PRISKILA TAN,,p,,2007-11-29,2007-11-29
117,"SURIP STANISLAUS,OFMCAP",,p,,2007-11-29,2007-11-29
118,MAX LUCADO,,p,,2007-11-29,2007-11-29
119,BILL HYBELS,,p,,2007-11-29,2007-11-29
120,PDT. AYUB YAHYA,,p,,2007-11-29,2007-11-29
121,JIM PETERSEN & MIKE SHAMY,,p,,2007-11-29,2007-11-29
122,DAVE EARLEY,,p,,2007-11-29,2007-11-29
123,KERRY & CHRIS SHOOK,,p,,2007-11-29,2007-11-29
124,CHARLES F. STANLEY,,p,,2007-11-29,2007-11-29
125,PIETER LASE M. DIV,,p,,2007-11-29,2007-11-29
126,DR. STEPHEN CROSBY,,p,,2007-11-29,2007-11-29
127,TRIAS KUNCAHYONO,,p,,2007-11-29,2007-11-29
128,OLAF H. SCHUMANN,,p,,2007-11-29,2007-11-29
129,MALCOLM BROWNLEE,,p,,2007-11-29,2007-11-29
130,Dr.D.F. Walker,,p,,2007-11-29,2007-11-29
131,Paus Yohannes Paulus II,,p,,2007-11-29,2007-11-29
132,"J.I.Packer / Merrill C. Tenney/William White, Jr",,p,,2007-11-29,2007-11-29
133,"J.I.Packer / Merrill C. Tenney/William White, JrP",,p,,2007-11-29,2007-11-29
134,Christopher Partridge/J.Gordon Melton,,p,,2007-11-29,2007-11-29
135,DR TIM DOWLEY,,p,,2007-11-29,2007-11-29
136,"Joseph P.Free , Howard F.Vos",,p,,2007-11-29,2007-11-29
137,Thomas Nelson,,p,,2007-11-29,2007-11-29
138,Sammi Awwad,,p,,2007-11-29,2007-11-29
139,Stephen M.Miller & robert V. Huber,,p,,2007-11-29,2007-11-29
140,J.I.Packer and M.C.Tenney,,p,,2007-11-29,2007-11-29
141,New International Version,,p,,2007-11-29,2007-11-29
142,M.K Sembiring,,p,,2007-11-29,2007-11-29
143,Dr.F.L. Bakker,,p,,2007-11-29,2007-11-29
144,"W.S. Lasor, D.A. Hubbrad, F.W. Bush",,p,,2007-11-29,2007-11-29
145,YAYASAN KALAM HIDUP,,p,,2007-11-29,2007-11-29
146,William Barclay,,p,,2007-11-29,2007-11-29
147,Matthew E. Carlton,,p,,2007-11-29,2007-11-29
148,"Dr. Robert G. Bratcher, Dr. Eugene A. Nida",,p,,2007-11-29,2007-11-29
149,Dr.Daniel C. Arichea & Dr. Howard A. Hatton,,p,,2007-11-29,2007-11-29
150,Dr. David L. Baker,,p,,2007-11-29,2007-11-29
151,Sastro Soedirdjo,,p,,2007-11-29,2007-11-29
152,J. Sidlow Baxter,,p,,2007-11-29,2007-11-29
153,"Sostenis Nggebu, M.A.",,p,,2007-11-29,2007-11-29
154,Walter M.Post,,p,,2007-11-29,2007-11-29
155,Derek Kidner,,p,,2007-11-29,2007-11-29
156,David Atkinson,,p,,2007-11-29,2007-11-29
157,Dr.J.L.Ch. Abineno,,p,,2007-11-29,2007-11-29
158,Paulus Trimanto Wibowo,,p,,2007-11-29,2007-11-29
159,Jean-Baptiste Sawadogo dan Marcia A. Munger,,p,,2007-11-29,2007-11-29
160,Susana Tan & H.A. OPPUSUNGGU,,p,,2007-11-29,2007-11-29
161,M.H Simanungkalit,,p,,2007-11-29,2007-11-29
162,J.Stephen Lang,,p,,2007-11-29,2007-11-29
163,Adina Chapman,,p,,2007-11-29,2007-11-29
164,W. Stanley Heath,,p,,2007-11-29,2007-11-29
165,DR. Charles E. Buckner,,p,,2007-11-29,2007-11-29
166,"Dave Hagelberg, M.Th.",,p,,2007-11-29,2007-11-29
167,J. Wesley Brill,,p,,2007-11-29,2007-11-29
168,Doreen Widjana,,p,,2007-11-29,2007-11-29
169,Warren W. Wiersbe,,p,,2007-11-29,2007-11-29
170,Brian J. Bailey,,p,,2007-11-29,2007-11-29
171,John Stott,,p,,2007-11-29,2007-11-29
172,Bruce A. Ray,,p,,2007-11-29,2007-11-29
173,Jeane Ch. Obadja,,p,,2007-11-29,2007-11-29
174,T.J. Boersma,,p,,2007-11-29,2007-11-29
175,"Richard L.Pratt, jr.",,p,,2007-11-29,2007-11-29
176,John Drane,,p,,2007-11-29,2007-11-29
177,Joel B.Green,,p,,2007-11-29,2007-11-29
178,Darlene & Harold J Sala,,p,,2007-11-29,2007-11-29
179,Dr. H. C. Brown,,p,,2007-11-29,2007-11-29
180,Charles Riggs,,p,,2007-11-29,2007-11-29
181,Ronald F. Keeler,,p,,2007-11-29,2007-11-29
182,Harry M. Piland,,p,,2007-11-29,2007-11-29
183,Lelia Lewis,,p,,2007-11-29,2007-11-29
184,"Pdt. Yan Antoni, M. Th.Th. D.",,p,,2007-11-29,2007-11-29
185,Denis J.V. Lane,,p,,2007-11-29,2007-11-29
186,Sri Wadaningsih,,p,,2007-11-29,2007-11-29
187,Bruce Narramore,,p,,2007-11-29,2007-11-29
188,Purnawaman Kristanto,,p,,2007-11-29,2007-11-29
189,Roy Robertson,,p,,2007-11-29,2007-11-29
190,GKY,,p,,2007-11-29,2007-11-29
191,Oletta Wald,,p,,2007-11-29,2007-11-29
192,Elizabeth G. Hainstock,,p,,2007-11-29,2007-11-29
193,Pdt. DR. Stephen Tong,,p,,2007-11-29,2007-11-29
194,Rick C. Howard,,p,,2007-11-29,2007-11-29
195,Hali Daniel Lie & Harianto GP,,p,,2007-11-29,2007-11-29
196,"Andreas B. Subagyo, Ph.D.",,p,,2007-11-29,2007-11-29
197,R.J Porter MA,,p,,2007-11-29,2007-11-29
198,Joel Comiskey,,p,,2007-11-29,2007-11-29
199,Yoh. Veldhuizen,,p,,2007-11-29,2007-11-29
200,Dr. Lyndon Saputra,,p,,2007-11-29,2007-11-29
201,"Brian Cavanaugh, T.O.R.",,p,,2007-11-29,2007-11-29
202,Igrea Siswanto,,p,,2007-11-29,2007-11-29
203,"Frank Mihalic, SVD",,p,,2007-11-29,2007-11-29
204,Vann Lane,,p,,2007-11-29,2007-11-29
